id,title,price,promo_price,url
1607641,"Ноутбук Lenovo IdeaPad 3 17ADA05, 81W2008CRU,  серый","
                                    34 990
                            ","
                                    34 890
                            ",https://www.citilink.ru/product/noutbuk-irbis-nb-nb701-cel-n4020-4gb-128gb-17-3-tn-hd-w10pro-black-400-1607641/
1521509,"Ноутбук HP 255 G8, 3A5Y5EA,  темно-серебристый","
                                    30 990
                            ","
                                    30 890
                            ",https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r4fz-ryzen-5-5500u-8gb-ssd128gb-15-6-ips-1521509/
1497747,"Ноутбук HP 250 G8, 2X7X7EA,  темно-серебристый","
                                    37 990
                            ","
                                    37 890
                            ",https://www.citilink.ru/product/noutbuk-asus-k413ja-eb534-i5-1035g1-8gb-ssd512gb-14-ips-fhd-noos-1497747/
1590599,"Ноутбук ASUS TUF Gaming F15 FX506HEB-HN155W, 90NR0703-M06680,  серый","
                                    97 990
                            ","
                                    97 890
                            ",https://www.citilink.ru/product/noutbuk-hp-15s-eq1136ur-ath-sil-3050u-4gb-ssd256gb-15-6-ips-fhd-dos3-0-1590599/
1441682,"Ноутбук ASUS Vivobook Go 15 E510KA-BQ098T, 90NB0UJ5-M01510,  черный","
                                    25 990
                            ","
                                    25 890
                            ",https://www.citilink.ru/product/noutbuk-hp-14s-dq2007ur-14-ips-intel-pentium-gold-7505-4gb-256gb-ssd-i-1441682/
1646611,"Ноутбук ASUS Vivobook Pro 15 OLED K3500PA-L1091W, 90NB0UU2-M03930,  синий","
                                    84 990
                            ","
                                    84 890
                            ",https://www.citilink.ru/product/noutbuk-dell-vostro-3515-ryzen-5-3450u-8gb-ssd512gb-vega-8-15-6-fhd-li-1646611/
1550169,"Ноутбук ASUS Zenbook UX425EA-KI938, 90NB0SM1-M00CT0,  серый","
                                    84 990
                            ","
                                    84 890
                            ",https://www.citilink.ru/product/noutbuk-hp-victus-16-d0032ur-i5-11400-16gb-ssd512gb-rtx-3050-ti-4gb-16-1550169/
1372374,"Ноутбук-трансформер IRBIS NB NB121 YOGA, NB121,  черный","
                                    16 990
                            ","
                                    16 890
                            ",https://www.citilink.ru/product/noutbuk-acer-aspire-3-a314-22-r7sr-ryzen-3-3250u-4gb-ssd128gb-14-fhd-w-1372374/
1490260,"Ноутбук IRBIS NB NB73, NB73,  белый","
                                    12 990
                            ","
                                    12 890
                            ",https://www.citilink.ru/product/noutbuk-hp-255-g8-athlon-3150u-4gb-ssd128gb-15-6-fhd-w10pro64-1490260/
1477004,"Ноутбук ASUS VivoBook 15 OLED K513EA-L12779W, 90NB0SG3-M001Y0,  золотистый","
                                    54 990
                            ","
                                    54 890
                            ",https://www.citilink.ru/product/noutbuk-hp-245-g8-14-amd-athlon-silver-3050u-4gb-256gb-ssd-windows-10-1477004/
1494806,"Ноутбук HP 14s-dq3002ur, 3E7Y2EA,  черный","
                                    26 290
                            ","
                                    26 190
                            ",https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-15iml05-i5-10210u-8gb-ssd512gb-15-6-ips-fhd-d-1494806/
1194683,"Ноутбук GIGABYTE G5 KC-5RU1130SH, KC-5RU1130SH,  черный","
                                    109 990
                            ","
                                    45 890
                            ",https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-523a-15-6-intel-core-i5-1035g1-1-0ggc-8g-1194683/
1492136,"Ноутбук Acer Aspire 3 A315-56-53W1, NX.HS5ER.00J,  черный","
                                    45 990
                            ","
                                    18 890
                            ",https://www.citilink.ru/product/noutbuk-lenovo-ideapad-1-11ada05-athlon-3020e-4gb-ssd128gb-11-6-tn-hd-1492136/
1550170,"Ноутбук IRBIS NB NB701, NB701,  черный","
                                    18 990
                            ","
                                    55 890
                            ",https://www.citilink.ru/product/noutbuk-hp-victus-16-d0031ur-i7-11800h-16gb-ssd512gb-rtx-3060-6gb-16-1-1550170/
1583147,"Ноутбук Acer Aspire 5 A515-45-R4FZ, NX.A85ER.00J,  черный","
                                    55 990
                            ","
                                    53 890
                            ",https://www.citilink.ru/product/noutbuk-asus-n7600pc-l2048w-i5-11300h-16gb-ssd512gb-rtx-3050-4gb-16-ol-1583147/
1522555,"Ноутбук ASUS VivoBook K413JA-EB534, 90NB0RCF-M08060,  черный","
                                    53 990
                            ","
                                    39 590
                            ",https://www.citilink.ru/product/noutbuk-asus-e510ma-bq196t-pen-n5030-4gb-ssd128gb-605-15-6-ips-fhd-w10-1522555/
1402425,"Ноутбук HP 15s-eq1136ur, 22P99EA,  серый","
                                    39 690
                            ","
                                    104 890
                            ",https://www.citilink.ru/product/noutbuk-hp-15s-eq1190ur-ryzen-3-3250u-8gb-ssd512gb-15-6-ips-fhd-w10-si-1402425/
1487463,"Ноутбук DELL G15 5515, G515-9925,  серый","
                                    104 990
                            ","
                                    43 890
                            ",https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-i3-1115g4-8gb-ssd256gb-17-3-tn-hd-w10-1487463/
1598740,"Ноутбук HP 14s-dq2007ur, 2X1P1EA,  белый","
                                    43 990
                            ","
                                    18 890
                            ",https://www.citilink.ru/product/noutbuk-irbis-nb-nb656-pen-j3710-4gb-13-5-ips-w10pro-silver-5000mah-1598740/
1442097,"Ноутбук ASUS L210MA-GJ243T, 90NB0R41-M09020,  синий","
                                    18 990
                            ","
                                    54 890
                            ",https://www.citilink.ru/product/noutbuk-digma-eve-10ka-windows-10-1-ips-intel-atom-x5-z8350-2gb-64gb-s-1442097/
1170570,"Ноутбук DELL Vostro 3515, 3515-5456,  серый","
                                    54 990
                            ","
                                    102 890
                            ",https://www.citilink.ru/product/noutbuk-lenovo-ideapad-l340-15api-15-6-amd-athlon-300u-2-4ggc-4gb-256g-1170570/
1497691,"Ноутбук HP Victus 16-d0032ur, 4L672EA,  белый","
                                    102 990
                            ","
                                    27 890
                            ",https://www.citilink.ru/product/noutbuk-digma-eve-15-celeron-hd-ips-cel-n4020-4gb-ssd128gb-600-15-6-ip-1497691/
1521009,"Ноутбук Acer Aspire 3 A314-22-R7SR, NX.HVVER.001,  черный","
                                    27 990
                            ","
                                    30 890
                            ",https://www.citilink.ru/product/noutbuk-acer-aspire-5-a514-54-31w4-i3-1115g4-8gb-1tb-ssd128gb-14-ips-f-1521009/
1525984,"Ноутбук HP 255 G8, 3A5Y6EA,  темно-серебристый","
                                    30 990
                            ","
                                    27 890
                            ",https://www.citilink.ru/product/noutbuk-msi-pulse-gl76-11udk-i7-11800h-8gb-ssd512gb-rtx-3050-ti-4gb-17-1525984/
1441689,"Ноутбук HP 245 G8, 2W8T6EA,  темно-серебристый","
                                    27 990
                            ","
                                    54 890
                            ",https://www.citilink.ru/product/noutbuk-hp-14s-dq2008ur-14-ips-intel-pentium-gold-7505-4gb-256gb-ssd-i-1441689/
1690637,"Ноутбук Lenovo IdeaPad 3 15IML05, 81WB011VRK,  серый","
                                    54 990
                            ","
                                    24 890
                            ",https://www.citilink.ru/product/noutbuk-hp-15s-fq2139ur-i5-1135g7-8gb-ssd256gb-15-6-ips-fhd-w11-silver-1690637/
1170571,"Ноутбук Lenovo IdeaPad 3 17ITL6, 82H9008YRU,  серый","
                                    24 990
                            ","
                                    51 890
                            ",https://www.citilink.ru/product/noutbuk-lenovo-ideapad-l340-15api-15-6-amd-athlon-300u-2-4ggc-4gb-500g-1170571/
1523022,"Ноутбук Acer Aspire 3 A315-56-523A, NX.HS5ER.006,  черный","
                                    51 990
                            ","
                                    19 890
                            ",https://www.citilink.ru/product/noutbuk-asus-n7400pc-km050-i5-11300h-16gb-ssd512gb-rtx-3050-4gb-14-ole-1523022/
